WAFER_ID,STAGE,AVG_REMOVAL_RATE,group
-4025511552,B,57.1299,low
-4025511554,A,65.05305,low
-4027511556,A,66.99705,low
-4027511560,B,70.7853,low
-4027511564,A,67.17675,low
-4027511564,B,67.7826,low
-4027511568,A,71.5143,low
-4027511568,B,69.9153,low
-4027511750,B,62.11335,low
-4027511762,A,61.78755,low
-4027511782,A,66.6846,low
-4027511782,B,67.593,low
-4027511786,A,69.8376,low
-4027511786,B,65.5995,low
-4027511790,A,70.7547,low
-4027511790,B,67.27005,low
-4033511524,A,76.53705,low
-4033511540,B,87.6768,low
-4033511544,B,80.7708,low
-4033511548,B,79.97925,low
-4033511552,B,80.2875,low
-4033511570,B,74.3028,low
-4033511582,A,73.61025,low
-4035511562,B,93.2031,low
-4035511570,B,75.89895,low
-4035511574,B,88.03935,low
-4035511578,B,84.5577,low
-4035511582,B,89.8167,low
-4035511598,B,86.3664,low
-4035511780,B,94.0935,low
-4035511792,B,81.5361,low
-4037511812,A,79.17435,low
-4037511816,A,78.9513,low
-4037511828,A,78.7752,low
-4037511832,A,74.61195,low
-4037511836,B,89.1726,low
-4037511840,B,80.08005,low
-4037511872,B,95.58105,low
-4039511554,A,88.70205,low
-4039511554,B,96.936,low
-4039511558,A,85.27395,low
-4039511566,A,82.98195,low
-4039511574,A,85.86135,low
-4039511574,B,85.1418,low
-4039511578,B,85.39035,low
-4039511784,A,83.1678,low
-4039511784,B,84.47055,low
-4039511788,A,84.68055,low
-4039511800,A,84.1707,low
-4041511852,A,83.77365,low
-4041511860,A,86.16075,low
-4041511872,A,79.15335,low
-4043511570,A,74.95455,low
-4043511796,A,75.37605,low
-4043511796,B,86.1816,low
-4043511808,A,69.92775,low
-4043511808,B,87.4689,low
-4045511812,A,80.33985,low
-4045511816,B,84.15975,low
-4045511820,B,83.29515,low
-4045511824,B,83.6727,low
-4045511828,A,76.0023,low
-4045511832,B,86.3877,low
-4045511836,B,82.2303,low
-4045511848,B,85.5699,low
-4045511868,B,84.015,low
-4111511812,B,84.74295,low
-4111511816,A,73.4904,low
-4111511820,A,54.59835,low
-4111511820,B,65.45685,low
-4111511824,A,64.21455,low
-4111511824,B,63.04155,low
-4111512046,B,84.4365,low
-4111512050,A,79.4853,low
-4111512058,A,76.6485,low
-4111512058,B,81.19215,low
-4111512062,A,76.88835,low
-4113511748,A,56.09865,low
-4113511748,B,71.89545,low
-4113511752,A,56.95725,low
-4113511752,B,64.08075,low
-4113511756,A,55.60095,low
-4113511756,B,78.70095,low
-4113511764,B,60.0153,low
-4113511780,A,61.04565,low
-4113511784,B,74.37165,low
-4113511792,A,59.8572,low
-4113511792,B,66.486,low
-4113511796,A,59.1954,low
-4113511796,B,71.1123,low
-4113511800,B,67.19175,low
-4113511804,B,72.5376,low
-4113511808,A,53.64735,low
-4113511808,B,69.23745,low
-4113511814,A,58.27905,low
-4113511814,B,67.5714,low
-4113511818,A,65.0223,low
-4113511818,B,64.29195,low
-4113511822,B,69.0819,low
-4113511826,A,62.3022,low
-4113511826,B,64.34145,low
-4139511826,A,66.46995,low
-4139511826,B,77.088,low
-4139511830,B,74.913,low
-4139511834,B,72.4614,low
-4139511842,A,69.7959,low
-4139511842,B,70.6215,low
-4139511850,A,70.1346,low
-4139511850,B,73.5351,low
-4139511854,A,71.9658,low
-4139511854,B,74.034,low
-4139511866,A,72.10635,low
-4139512004,A,69.5982,low
-4139512004,B,75.3372,low
-4139512020,B,73.5135,low
-4141512072,A,70.3578,low
-4141512092,B,76.8204,low
-4141512096,A,74.30415,low
-4141512096,B,76.24665,low
-4141512104,B,78.8967,low
-4141512112,B,83.1564,low
-4141512120,A,78.4977,low
-4141512120,B,73.27635,low
-4208160362,A,82.58775,low
-4210160444,A,75.0489,low
-4210160444,B,81.4941,low
-4216160624,A,58.81275,low
-4216160624,B,70.71435,low
-4216160640,A,78.65925,low
-4216160640,B,81.0711,low
-4216160642,A,56.9673,low
-4216160646,B,64.34745,low
-4216160650,A,59.3889,low
-4216160658,A,58.9947,low
-4216160662,A,63.6816,low
-4216160666,A,61.4217,low
-4216160670,A,64.90665,low
-4216160670,B,67.6425,low
-4216160690,B,60.7173,low
-4216160694,A,56.9127,low
-4216160702,A,55.0086,low
-4220160604,A,64.4562,low
-4220160604,B,82.51935,low
-4220160646,A,76.0956,low
-4220160646,B,73.74045,low
-4220160650,A,65.65575,low
-4220160674,A,58.9389,low
-4220160678,B,74.18535,low
-4220160682,B,69.39165,low
-4220160686,B,82.76775,low
-4220160694,A,79.85925,low
-4220160702,A,68.09415,low
-4220160702,B,84.64815,low
-4222160392,A,53.42655,low
-4222160420,A,53.7738,low
-4222160428,A,53.6943,low
-4222160428,B,79.52355,low
-4222160432,B,78.6462,low
-4222160448,A,65.16345,low
-4222160578,B,85.6827,low
-4222160582,B,57.58005,low
-4222160590,B,72.45435,low
-4222160606,B,59.78145,low
-4224160580,B,71.907,low
-4224160584,B,75.86415,low
-4224160592,B,60.39825,low
-4224160600,A,61.6548,low
-4224160600,B,61.18935,low
-4224160646,A,62.62545,low
-4224160650,A,61.0698,low
-4224160650,B,65.64225,low
-4224160654,A,60.3432,low
-4224160662,A,64.35705,low
-4224160662,B,69.36975,low
-4224160690,A,57.8484,low
-4224160690,B,66.4284,low
-4224160694,A,57.86655,low
-4224160694,B,65.64675,low
-4224160702,B,65.30385,low
-4226160396,A,61.22265,low
-4226160396,B,77.4597,low
-4226160404,B,71.91825,low
-4226160408,B,75.1281,low
-4226160416,A,57.9618,low
-4226160416,B,72.28245,low
-4226160424,A,63.24495,low
-4226160424,B,64.1814,low
-4228160580,A,58.3518,low
-4228160580,B,73.3764,low
-4228160596,A,61.1604,low
-4228160596,B,71.0739,low
-4228160600,A,62.05515,low
-4228160600,B,72.4548,low
-4228160604,A,60.6567,low
-4228160608,B,72.48105,low
-4228160642,A,78.33675,low
-4228160642,B,68.7276,low
-4228160658,A,61.94655,low
-4228160658,B,72.771,low
-4228160662,A,72.79755,low
-4228160662,B,61.59885,low
-4228160670,A,74.21805,low
-4228160670,B,69.83175,low
-4228160678,A,66.02895,low
-4228160682,A,70.0665,low
-4228160686,A,72.37185,low
-4228160686,B,70.2468,low
-4228160690,A,64.521,low
-4228160690,B,68.48055,low
-4228160694,B,69.89805,low
-4228160698,B,74.91585,low
-4228160702,A,67.42425,low
-4228160702,B,69.62205,low
-4230160408,A,79.8045,low
-4230160408,B,83.0358,low
-4230160416,B,81.83385,low
-4230160424,A,78.33015,low
-4230160424,B,75.97095,low
-4230160428,A,75.34995,low
-4230160436,B,54.3072,low
-4230160594,B,70.0533,low
-4230160598,A,68.8818,low
-873170244,B,68.45265,low
-873170248,A,55.66965,low
-873170248,B,63.10665,low
-873170256,B,58.8924,low
-873170272,A,55.08765,low
-873170272,B,64.89795,low
-873170306,A,60.16635,low
-873170306,B,70.986,low
-873170318,A,64.5318,low
-873170318,B,66.2457,low
-873170334,A,60.5967,low
-873170338,A,61.75965,low
-873170342,B,63.5892,low
-873170346,A,63.01095,low
-873170354,A,60.59415,low
-873170354,B,65.79675,low
-873170362,B,69.61065,low
-873170366,A,59.68785,low
-873170366,B,59.37135,low
-875170052,B,65.91045,low
-875170112,B,63.42225,low
-877170260,A,57.82185,low
-877170264,A,60.30495,low
-877170264,B,68.8746,low
-877170268,A,69.24525,low
-877170268,B,72.0123,low
-877170272,A,65.0508,low
-877170314,B,65.7627,low
-877170322,A,65.90055,low
-877170322,B,70.4697,low
-877170326,A,61.2159,low
-877170330,A,61.5486,low
-877170338,A,65.424,low
-877170346,B,72.50895,low
-877170350,A,61.56015,low
-877170358,B,71.14995,low
-877170366,A,69.8253,low
-877170366,B,69.8028,low
-879170068,A,63.34515,low
-879170072,A,71.253,low
-879170072,B,72.5385,low
-879170076,A,65.5623,low
-879170076,B,58.98405,low
-879170080,B,70.7364,low
-879170084,B,65.9394,low
-879170088,A,66.2058,low
-879170092,A,71.59845,low
-879170096,A,64.4553,low
-879170100,A,65.36535,low
-879170100,B,72.7671,low
-879170104,A,72.73455,low
-879170108,A,68.5827,low
-879170108,B,73.7268,low
-879170112,A,65.77155,low
-879170254,A,66.07485,low
-879170258,B,77.03805,low
-879170270,A,60.4995,low
-897170370,A,78.9837,low
-897170374,B,84.3513,low
-897170406,B,80.2437,low
-897170414,A,83.55975,low
-899170124,B,68.8011,low
-899170132,B,69.28185,low
-899170148,B,59.8281,low
-899170156,A,59.2407,low
-899170186,A,65.36175,low
-899170198,A,63.6546,low
-899170202,A,65.35665,low
-903170132,A,76.81305,low
-903170132,B,77.1237,low
-903170136,B,83.79975,low
-903170140,A,78.0135,low
-903170140,B,81.90435,low
-903170144,A,78.3189,low
-903170148,A,77.5974,low
-903170152,A,75.98775,low
-903170156,A,80.20785,low
-903170156,B,84.30255,low
-903170160,A,76.61475,low
-903170160,B,80.28585,low
-903170168,A,72.966,low
-903170172,A,69.6849,low
-903170172,B,82.75185,low
-903170176,B,80.6286,low
-903170194,A,80.55015,low
-903170198,A,68.30775,low
-903170202,B,82.5801,low
1270253678,B,87.74865,low
1270253696,B,94.9866,low
1270253716,A,73.39185,low
1270253720,A,76.25595,low
1270253728,A,80.5053,low
1270253752,B,86.8347,low
1272253462,B,89.8257,low
1272253470,A,78.29085,low
1272253486,A,74.6979,low
1272253486,B,88.4877,low
1276253442,B,88.15185,low
1276253466,B,88.69725,low
1276253498,A,78.42765,low
1276253502,A,78.8184,low
1276253672,B,86.3628,low
1276253680,B,91.86555,low
1276253684,B,89.20785,low
1276253688,A,81.8163,low
1276253692,B,83.82225,low
1286253642,B,86.1993,low
1286253650,B,85.06125,low
1286253654,A,70.1898,low
1286253654,B,88.69005,low
1286253712,A,76.1487,low
1286253712,B,81.3783,low
1286253720,A,72.1785,low
1286253724,B,80.83995,low
1286253728,A,70.9719,low
1286253728,B,87.85875,low
1286253732,A,77.313,low
1286253732,B,87.50175,low
1286253736,B,86.13675,low
1286253744,B,77.5551,low
1286253752,A,72.58965,low
1288253454,A,69.69645,low
1288253458,A,74.07225,low
1288253458,B,85.31625,low
1288253462,A,69.71775,low
1288253470,A,71.63085,low
1288253474,A,76.13235,low
1288253478,A,76.9575,low
1288253482,A,75.2079,low
1288253490,A,69.8931,low
1288253490,B,80.5515,low
1288253494,A,66.22995,low
1288253494,B,81.3786,low
1288253502,A,71.34,low
1288253648,A,75.90975,low
1290253650,A,81.47955,low
1290253654,A,79.8246,low
1290253654,B,82.5711,low
1290253662,A,75.7974,low
1290253662,B,86.5365,low
1290253716,A,75.14385,low
1290253724,B,84.19215,low
1290253728,A,75.29565,low
1290253732,A,73.5222,low
1290253744,A,78.55035,low
1290253748,B,80.59335,low
1290253756,A,79.75065,low
1292253506,B,85.10775,low
1292253510,B,78.38415,low
1292253514,A,75.5943,low
1292253514,B,85.3674,low
1292253518,A,75.4989,low
1292253518,B,79.16385,low
1292253526,A,83.08275,low
1292253526,B,88.4625,low
1292253530,B,80.78445,low
1292253534,A,77.997,low
1292253542,B,81.6159,low
1292253546,B,86.37765,low
1292253550,B,81.88305,low
1292253562,B,81.72885,low
1292253600,B,79.54995,low
1292253608,A,74.37945,low
1292253608,B,79.00635,low
1292253612,A,76.0131,low
1292253612,B,80.0799,low
1294253602,A,75.89625,low
1294253606,B,77.9223,low
1294253610,A,77.1717,low
1294253614,B,82.7115,low
1294253796,A,76.905,low
1294253800,B,91.1934,low
1294253808,A,78.34545,low
1296253506,A,75.6678,low
1296253510,A,77.59695,low
1296253518,A,79.37745,low
1296253522,B,86.8125,low
1296253530,B,80.27625,low
1296253534,B,81.7032,low
1296253538,A,81.09105,low
1296253538,B,81.31305,low
1296253546,B,82.73565,low
1296253550,A,77.87115,low
1296253550,B,81.4959,low
1296253558,A,77.34555,low
1296253558,B,84.9201,low
1296253604,B,76.1958,low
1296253608,A,81.66405,low
1300253506,B,85.2402,low
1300253514,B,72.7095,low
1300253518,A,73.0692,low
1300253518,B,83.4975,low
1300253522,B,81.1914,low
1300253526,A,76.26435,low
1300253526,B,85.5468,low
1300253600,A,73.5165,low
1300253620,A,73.72125,low
1302253578,A,88.0587,low
1302253764,A,82.6446,low
1302253772,B,88.90305,low
1302253784,B,90.11925,low
1302253792,A,79.0554,low
1304253506,B,99.87045,low
1304253518,B,86.9931,low
1304253534,A,79.31835,low
1304253550,B,91.2012,low
1304253554,A,84.1734,low
1304253554,B,101.4648,low
1304253558,B,91.3698,low
1304253562,A,81.01605,low
1304253562,B,96.76815,low
1304253566,A,76.1466,low
1304253568,B,91.12125,low
1304253572,A,78.22545,low
1304253572,B,96.01515,low
1306253578,A,77.6058,low
1306253582,A,74.0073,low
1306253590,A,79.4673,low
1306253764,A,73.66995,low
1306253772,A,83.9604,low
1306253780,A,81.7716,low
1306253800,A,73.90005,low
1306253804,A,75.2157,low
1308253522,A,81.32145,low
1308253526,A,74.93835,low
1308253542,B,91.52745,low
1308253546,A,73.7877,low
1308253550,A,81.63045,low
1308253554,A,74.68635,low
1308253576,A,82.22865,low
1308253584,A,77.01615,low
1308253592,A,79.19445,low
1308253596,A,72.84,low
1310253570,A,78.8031,low
1310253586,A,76.392,low
1310253590,B,83.40015,low
1310253788,B,85.35075,low
1310253816,A,76.1949,low
1310253820,A,76.88055,low
1312253522,A,81.8646,low
1312253530,A,75.49515,low
1312253546,A,78.15405,low
1312253554,A,82.89015,low
1312253566,A,74.89275,low
1312253596,A,81.4992,low
1314253568,A,71.32785,low
1314253572,B,86.14785,low
1314253576,A,78.6927,low
1314253588,B,88.74105,low
1314253592,A,71.70675,low
1314253592,B,92.80575,low
1314253596,A,70.60155,low
1314253604,A,72.93855,low
1314253604,B,86.5368,low
1314253612,B,84.1677,low
1314253628,A,74.2179,low
1314253794,A,72.7047,low
1314253794,B,85.0494,low
1314253798,A,77.07285,low
1314253822,A,80.0472,low
1316253792,A,71.7519,low
1316253804,A,70.40445,low
1316253826,A,75.4695,low
1316253838,A,78.31545,low
1316253846,A,78.46065,low
1316253850,A,77.22525,low
1316253858,A,69.8547,low
1316253870,A,80.00865,low
1318253572,B,78.1785,low
1318253576,B,90.0669,low
1318253580,B,89.44185,low
1318253584,A,83.41635,low
1318253608,A,84.3666,low
1318253616,B,82.58805,low
1318253620,B,81.67665,low
1318253628,B,87.9402,low
1318253802,B,88.58115,low
1318253810,B,82.95795,low
1318253814,B,81.65685,low
1318253822,B,85.8987,low
1322253588,B,85.3224,low
1322253592,B,81.51435,low
1322253596,B,88.63005,low
1322253616,A,78.7743,low
1322253620,A,71.1882,low
1322253620,B,91.0695,low
1324253760,B,85.6653,low
1324253768,A,80.0772,low
1324253772,B,91.19205,low
1324253858,B,96.1875,low
1324253862,B,78.72615,low
1324253866,B,82.82955,low
1326253608,B,91.11525,low
1326253624,B,93.7632,low
1326253770,B,87.04485,low
1326253774,B,85.60095,low
1328253764,B,81.8019,low
1328253768,B,85.10175,low
1328253772,B,82.33515,low
1328253862,A,71.7375,low
1330253600,A,80.1117,low
1330253608,B,87.6795,low
1330253612,B,90.63855,low
1330253620,A,81.0465,low
1330253778,B,92.46015,low
1330253782,A,78.78465,low
1330253782,B,84.2172,low
1330253786,B,89.1201,low
1332253826,B,90.8298,low
1332253850,B,93.6186,low
1332253854,A,76.2177,low
1332253870,B,87.45645,low
1332253886,A,83.76855,low
1332253886,B,93.4476,low
1451738948,A,77.8254,low
1451738960,A,73.29225,low
1451738976,A,78.66705,low
1451738976,B,94.0245,low
1451738980,A,82.707,low
1451738988,A,71.8506,low
1451738988,B,91.5012,low
1462254126,B,86.0289,low
1462254138,B,81.7002,low
1462254272,A,81.3804,low
1462254280,A,84.4605,low
1462254288,A,81.9657,low
1462254300,A,75.52995,low
1462254300,B,85.91745,low
1462254316,A,79.01535,low
1462254316,B,83.09295,low
1462254328,B,82.02915,low
1464254022,A,79.8369,low
1464254026,A,77.3766,low
1464254026,B,86.72175,low
1464254038,B,85.81695,low
1464254054,B,87.6009,low
1464254058,B,85.03935,low
1464254062,B,89.004,low
1464254078,B,82.425,low
1464254140,A,79.69305,low
1471738964,A,64.04925,low
1471738972,A,65.13795,low
1471738972,B,84.86895,low
1471739014,B,82.54545,low
1475739234,A,77.03835,low
1475739238,A,77.08095,low
1475739242,A,75.5517,low
1475739242,B,87.56835,low
1475739246,B,96.5514,low
1475739250,A,73.81275,low
1475739276,A,82.2507,low
1475739280,B,80.9979,low
1475739284,B,91.42335,low
1475739288,B,83.71605,low
1475739292,A,70.49925,low
1475739292,B,91.79565,low
1475739308,B,83.07855,low
1477739010,B,83.4507,low
1477739026,B,83.6733,low
1477739054,A,77.2362,low
1477739054,B,87.9891,low
1477739062,A,79.0431,low
1477739240,A,70.29945,low
1477739240,B,88.53165,low
1478254102,B,81.033,low
1478254110,B,82.86495,low
1478254288,B,79.82925,low
1478254292,B,83.49975,low
1478254296,A,75.67185,low
1478254304,A,73.40205,low
1478254304,B,76.8768,low
1478254316,A,76.2447,low
1478254324,A,76.30215,low
1478254324,B,78.11865,low
1478254328,A,71.9169,low
1478254328,B,79.82445,low
1478254332,B,83.9097,low
1479739258,A,81.24135,low
1480254030,B,81.63615,low
1480254034,A,79.51875,low
1480254038,A,77.0457,low
1480254042,B,85.00905,low
1480254054,B,77.12835,low
1480254058,A,79.34565,low
1480254062,A,74.87745,low
1480254062,B,78.44145,low
1480254066,A,78.8097,low
1480254074,A,77.23605,low
1480254078,B,78.53475,low
1480254092,B,78.3468,low
1480254096,A,76.46895,low
1480254108,A,70.0392,low
1480254108,B,84.1434,low
1481739014,A,78.3813,low
1481739022,A,82.61265,low
1481739038,A,81.036,low
1481739062,B,84.54945,low
1482254086,A,72.1488,low
1482254086,B,76.30875,low
1482254098,B,85.7286,low
1482254102,B,90.65595,low
1482254110,B,85.8552,low
1482254276,A,79.2594,low
1482254292,B,88.47255,low
1482254296,A,78.7056,low
1482254300,A,81.03465,low
1482254328,B,95.96235,low
1482254332,B,92.90235,low
1484254304,B,96.29445,low
1484254308,B,89.2896,low
1484254312,A,76.5216,low
1484254316,A,71.103,low
1484254328,A,65.76795,low
1484254338,A,74.98515,low
1484254342,A,67.69245,low
1484254346,A,66.14115,low
1484254350,B,80.43315,low
1484254358,A,68.13345,low
1484254366,A,71.9667,low
1484254366,B,76.20435,low
1484254370,A,75.4077,low
1484254374,A,71.1087,low
1484254374,B,84.6078,low
1484254378,A,71.8929,low
1484254382,A,72.66585,low
1484254382,B,77.1603,low
1484254394,B,80.6031,low
1486254080,A,79.41885,low
1486254084,B,91.92135,low
1486254092,A,79.146,low
1486254092,B,93.5103,low
1486254096,A,80.16375,low
1486254120,B,94.85685,low
1486254306,B,95.6199,low
1486254310,B,90.67125,low
1486254314,A,77.86935,low
1486254314,B,94.0854,low
1486254318,A,81.0795,low
1486254318,B,94.03515,low
1488254304,A,72.35715,low
1488254308,A,73.5669,low
1488254308,B,85.3953,low
1488254316,B,91.4808,low
1488254324,B,90.43605,low
1488254338,A,79.3428,low
1488254342,A,82.54125,low
1488254342,B,83.50215,low
1488254346,A,79.4193,low
1488254358,A,83.57055,low
1488254362,B,92.0508,low
1488254370,A,80.3514,low
1488254370,B,89.9013,low
1488254374,A,77.2413,low
1488254378,A,84.09855,low
1488254378,B,83.69685,low
1488254382,A,79.956,low
1490254080,A,79.2927,low
1490254080,B,93.09795,low
1490254092,A,79.2051,low
1490254100,B,86.7084,low
1490254104,A,82.87065,low
1490254124,A,79.2699,low
1490254140,A,79.2996,low
1490254140,B,88.5099,low
1492254346,A,80.27985,low
1492254370,B,90.47505,low
1832206946,A,152.6364,high
1832206970,A,155.2191,high
1832206976,A,154.3071,high
1832206980,A,151.6458,high
1832206988,A,150.55905,high
1832206992,A,154.54875,high
1832206996,A,150.87285,high
1832207000,A,153.06645,high
1832207012,A,150.5952,high
1832207016,A,152.60445,high
1832207020,A,150.9171,high
1834206722,A,148.01925,high
1834206734,A,155.0055,high
1834206738,A,151.5783,high
1834206742,A,153.7164,high
1834206746,A,161.06895,high
1834206750,A,150.0105,high
1834206754,A,148.04655,high
1834206758,A,147.62355,high
1834206766,A,151.82085,high
1834206948,A,150.51855,high
1834206952,A,152.8344,high
1834206956,A,148.6347,high
1836206946,A,149.50665,high
1836206950,A,152.6787,high
1836206954,A,151.97205,high
1836206958,A,152.8923,high
1836206966,A,151.2015,high
1836206976,A,150.5826,high
1836206980,A,148.36215,high
1836206984,A,148.29135,high
1836206992,A,154.47525,high
1836207000,A,149.43195,high
1836207008,A,150.9006,high
1836207012,A,152.67555,high
1836207016,A,151.22625,high
1836207020,A,151.81005,high
1836207028,A,153.4002,high
1838206722,A,152.4384,high
1838206726,A,155.8884,high
1838206730,A,152.3268,high
1838206734,A,154.1079,high
1838206742,A,154.2624,high
1838206746,A,150.97425,high
1838206750,A,153.3063,high
1838206762,A,151.8822,high
1838206770,A,148.4748,high
1838206782,A,152.253,high
1838206952,A,153.7527,high
1838206960,A,150.10665,high
1838206972,A,154.02675,high
1840206962,A,151.4508,high
1840206966,A,154.16415,high
1840206974,A,152.6226,high
1840206980,A,149.89725,high
1840206984,A,147.4839,high
1840206992,A,155.3631,high
1840207000,A,150.2247,high
1840207008,A,150.95805,high
1840207028,A,149.54595,high
1840207036,A,149.9037,high
1842206722,A,162.56205,high
1842206734,A,160.2288,high
1842206742,A,150.06585,high
1842206746,A,153.1476,high
1842206770,A,160.2576,high
1842206774,A,159.44025,high
1842206948,A,150.80445,high
1842206968,A,150.91545,high
1842206972,A,150.414,high
